open,high,low,close,totalvolume,timestamp
181.79,181.87,181.74,181.75,18519,2025-08-15T13:31:00Z
181.79,181.87,181.52,181.56,72117,2025-08-15T13:31:00Z
181.79,181.87,181.5,181.5,134148,2025-08-15T13:31:00Z
181.79,181.87,181.45,181.51,157175,2025-08-15T13:31:00Z
181.79,181.87,181.37,181.37,169313,2025-08-15T13:31:00Z
181.79,181.87,181.35,181.4,179950,2025-08-15T13:31:00Z
181.79,181.87,181.21,181.24,221255,2025-08-15T13:31:00Z
181.79,181.87,181.1,181.13,269714,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.01,348468,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.13,369357,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.04,389949,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.14,539849,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.17,581764,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.18,590573,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.17,597123,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.03,612541,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.03,620803,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.09,626341,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.1,637032,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.12,640106,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.18,650515,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.14,654589,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.12,685048,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.12,698228,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.09,713322,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.1,721372,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.07,726422,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.07,733606,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.04,740709,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.03,749590,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.05,780671,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.03,787715,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.02,793539,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.02,803468,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.03,815301,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.04,825725,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.08,841029,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.02,846626,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.01,858981,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.05,866671,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.06,887116,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.12,904189,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.07,907935,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.1,912447,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.09,919040,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.11,926860,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.14,928940,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.24,941979,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.24,953586,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.32,964406,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.33,990696,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.3,1001635,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.4,1030747,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.39,1034158,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.4,1038548,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.37,1046788,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.42,1059134,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.39,1064777,2025-08-15T13:31:00Z
181.79,181.87,181.0,181.35,1068652,2025-08-15T13:31:00Z
181.32,181.32,181.32,181.32,100,2025-08-15T13:32:00Z
181.32,181.39,181.31,181.37,8573,2025-08-15T13:32:00Z
181.32,181.41,181.31,181.38,17916,2025-08-15T13:32:00Z
181.32,181.41,181.3,181.34,28454,2025-08-15T13:32:00Z
181.32,181.41,181.3,181.34,35853,2025-08-15T13:32:00Z
181.32,181.41,181.29,181.29,41282,2025-08-15T13:32:00Z
181.32,181.41,181.29,181.33,46088,2025-08-15T13:32:00Z
181.32,181.43,181.29,181.41,59714,2025-08-15T13:32:00Z
181.32,181.5,181.29,181.46,75763,2025-08-15T13:32:00Z
181.32,181.5,181.29,181.45,84095,2025-08-15T13:32:00Z
181.32,181.55,181.29,181.55,101272,2025-08-15T13:32:00Z
181.32,181.58,181.29,181.57,118311,2025-08-15T13:32:00Z
181.32,181.6,181.29,181.51,135411,2025-08-15T13:32:00Z
181.32,181.6,181.29,181.53,146501,2025-08-15T13:32:00Z
181.32,181.61,181.29,181.57,150981,2025-08-15T13:32:00Z
181.32,181.61,181.29,181.58,157243,2025-08-15T13:32:00Z
181.32,181.61,181.29,181.56,184334,2025-08-15T13:32:00Z
181.32,181.64,181.29,181.64,215565,2025-08-15T13:32:00Z
181.32,181.64,181.29,181.51,233505,2025-08-15T13:32:00Z
181.32,181.64,181.29,181.52,250512,2025-08-15T13:32:00Z
181.32,181.64,181.29,181.52,254931,2025-08-15T13:32:00Z
181.32,181.64,181.29,181.6,272816,2025-08-15T13:32:00Z
181.32,181.66,181.29,181.66,282825,2025-08-15T13:32:00Z
181.32,181.66,181.25,181.28,357891,2025-08-15T13:32:00Z
181.32,181.66,181.19,181.26,384877,2025-08-15T13:32:00Z
181.32,181.66,181.18,181.23,421158,2025-08-15T13:32:00Z
181.32,181.66,181.11,181.11,437519,2025-08-15T13:32:00Z
181.32,181.66,181.08,181.11,446189,2025-08-15T13:32:00Z
181.32,181.66,181.08,181.12,454004,2025-08-15T13:32:00Z
181.32,181.66,181.04,181.07,466747,2025-08-15T13:32:00Z
181.32,181.66,181.03,181.09,473641,2025-08-15T13:32:00Z
181.32,181.66,181.03,181.06,497609,2025-08-15T13:32:00Z
181.32,181.66,181.03,181.08,515572,2025-08-15T13:32:00Z
181.32,181.66,180.93,181.0,590096,2025-08-15T13:32:00Z
181.32,181.66,180.93,180.97,603823,2025-08-15T13:32:00Z
