open,high,low,close,totalvolume,timestamp
172.61,172.68,172.58,172.61,1215756,2025-08-22T13:31:00Z
172.61,172.92,172.58,172.89,1295092,2025-08-22T13:31:00Z
172.61,173.1,172.58,173.05,1398646,2025-08-22T13:31:00Z
172.61,173.1,172.58,173.05,1459613,2025-08-22T13:31:00Z
172.61,173.1,172.58,172.94,1507128,2025-08-22T13:31:00Z
172.61,173.1,172.58,172.78,1570604,2025-08-22T13:31:00Z
172.61,173.1,172.58,172.67,1644465,2025-08-22T13:31:00Z
172.61,173.1,172.58,172.68,1672263,2025-08-22T13:31:00Z
172.61,173.1,172.58,172.65,1699214,2025-08-22T13:31:00Z
172.61,173.1,172.33,172.42,1805719,2025-08-22T13:31:00Z
172.61,173.1,172.22,172.28,1852513,2025-08-22T13:31:00Z
172.61,173.1,172.17,172.23,1901606,2025-08-22T13:31:00Z
172.61,173.1,172.16,172.2,1935498,2025-08-22T13:31:00Z
172.61,173.1,172.13,172.23,1963003,2025-08-22T13:31:00Z
172.61,173.1,172.13,172.24,1982654,2025-08-22T13:31:00Z
172.61,173.1,172.13,172.15,2002137,2025-08-22T13:31:00Z
172.61,173.1,172.1,172.14,2019236,2025-08-22T13:31:00Z
172.61,173.1,172.1,172.16,2031424,2025-08-22T13:31:00Z
172.61,173.1,172.04,172.04,2057079,2025-08-22T13:31:00Z
172.61,173.1,172.02,172.04,2072986,2025-08-22T13:31:00Z
172.61,173.1,171.91,171.98,2237667,2025-08-22T13:31:00Z
172.61,173.1,171.91,171.93,2255954,2025-08-22T13:31:00Z
172.61,173.1,171.91,171.95,2283548,2025-08-22T13:31:00Z
172.61,173.1,171.91,171.98,2305726,2025-08-22T13:31:00Z
172.61,173.1,171.8,171.8,2347206,2025-08-22T13:31:00Z
172.61,173.1,171.78,171.8,2371030,2025-08-22T13:31:00Z
172.61,173.1,171.74,171.76,2393386,2025-08-22T13:31:00Z
172.61,173.1,171.74,171.8,2405346,2025-08-22T13:31:00Z
172.61,173.1,171.74,171.75,2418947,2025-08-22T13:31:00Z
172.61,173.1,171.66,171.67,2457685,2025-08-22T13:31:00Z
172.61,173.1,171.57,171.6,2494911,2025-08-22T13:31:00Z
172.61,173.1,171.56,171.57,2521308,2025-08-22T13:31:00Z
172.61,173.1,171.56,171.6,2533848,2025-08-22T13:31:00Z
172.61,173.1,171.56,171.56,2549129,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.57,2563049,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.62,2572310,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.68,2590154,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.74,2608338,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.72,2630941,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.81,2660756,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.88,2687955,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.85,2697814,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.83,2709383,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.8,2733177,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.79,2739334,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.7,2760948,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.69,2788957,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.64,2815933,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.64,2821057,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.6,2830434,2025-08-22T13:31:00Z
172.61,173.1,171.53,171.58,2841389,2025-08-22T13:31:00Z
172.61,173.1,171.52,171.55,2860235,2025-08-22T13:31:00Z
172.61,173.1,171.51,171.54,2882137,2025-08-22T13:31:00Z
172.61,173.1,171.51,171.53,2889953,2025-08-22T13:31:00Z
